ENSDARG00000042370	1	chr17	-	27971144	27976031	27972332,	27975916,
ENSDARG00000068104	1	chr18	-	35375229	35390735	35375839,	35390179,
ENSDARG00000094579	1	chr3	+	23063718	23085279	23063939,23067516,23069586,23069807,23070107,23073753,23074052,23078185,23078539,23084712,23085012,	23067397,23069557,23069697,23070004,23073698,23073872,23078099,23078358,23084569,23084781,23085098,
ENSDARG00000061432	1	chr22	-	26519299	26524596	26521777,	26524415,
ENSDARG00000105195	1	chr21	-	11179914	11199366	11180435,11181938,11182189,11182987,11183795,11185939,11188516,11189885,11192014,11193418,11198894,	11181854,11182026,11182939,11183625,11185846,11188350,11189581,11191886,11193295,11198801,11199024,
ENSDARG00000104758	1	chr11	+	42730639	42732440	42730701,42730991,42731184,	42730793,42731071,42732313,
ENSDARG00000036424	1	chr11	-	42910904	42918971	42917671,	42918774,
ENSDARG00000115505	1	chr3	+	59117136	59167824	59117434,59129862,59134475,59146792,59150915,59152400,59159585,59164312,	59129729,59134345,59146637,59150769,59152284,59159511,59164041,59167626,
ENSDARG00000116369	1	chr21	-	29325544	29364166	29325656,29326168,	29325845,29363448,
ENSDARG00000077298	1	chr5	-	44455754	44496553	44456502,	44495842,
ENSDARG00000070043	1	chr9	+	10699038	10759513	10699428,10705458,10707409,10708994,10709755,10718228,10727231,10728495,10731546,10740022,10748527,10751709,10753566,10753704,10755318,10755522,10755752,	10705356,10707380,10708937,10709663,10718126,10727129,10728415,10731487,10739911,10748393,10751562,10753420,10753662,10755238,10755411,10755681,10759422,
ENSDARG00000058853	1	chr17	-	6985428	7060477	6988440,6988650,6992382,7001952,7003648,7007070,7011223,7011463,7014469,7014643,7016683,7017413,7024479,7025222,7025391,7028080,7038488,7038664,7040365,	6988519,6991646,7001830,7003498,7006861,7011054,7011331,7014326,7014569,7016328,7017281,7024378,7025110,7025305,7028043,7038439,7038617,7040237,7060352,
ENSDARG00000103021	0	chr7	-	54313489	54320088	54313760,	54318890,
ENSDARG00000002220	0	chr5	-	33295678	33298352	33295920,33296114,33297011,33297328,33297499,33297651,33297825,33298001,	33296016,33296875,33297131,33297422,33297581,33297774,33297942,33298188,
ENSDARG00000112923	1	chr23	+	45785563	45821620	45785656,45812907,45819104,	45812760,45818974,45821376,
ENSDARG00000102450	0	chr3	+	57820913	57823547	57820999,57821720,57822819,	57821625,57822673,57823022,
ENSDARG00000076068	1	chr2	-	24578053	24603325	24578342,24578708,24584057,24590140,24594695,24597344,24597665,24599344,24599581,24600690,24601508,24601699,	24578528,24583971,24589982,24594553,24597133,24597622,24599259,24599487,24600629,24601371,24601583,24603166,
ENSDARG00000076082	1	chr5	+	6955900	6962784	6956575,	6958868,
ENSDARG00000103394	1	chr12	+	41510492	41551599	41510959,41525858,41527923,41528299,41529887,41530104,41530276,41530551,41530814,41534535,41535160,41535973,41536559,41538190,41539170,41539497,41540647,41541262,41541492,41547385,41547535,41547692,41549301,41549594,	41525771,41527850,41528195,41529839,41530049,41530189,41530427,41530710,41534390,41535012,41535783,41536491,41537984,41539027,41539312,41540530,41541207,41541383,41547284,41547475,41547621,41549197,41549378,41551464,
ENSDARG00000053365	0	chr9	-	56225410	56232296	56226271,56228526,56230742,56231387,	56228414,56230617,56231287,56232271,
ENSDARG00000090612	1	chr22	+	6843363	6854956	6843695,6849440,6849661,	6849138,6849513,6854342,
ENSDARG00000112575	1	chr10	+	42169982	42179824	42170204,42176886,42177216,	42176723,42177084,42178444,
ENSDARG00000113932	1	chr21	-	12745431	12749501	12746063,12746270,12746422,12748710,	12746140,12746355,12748554,12749460,
ENSDARG00000046054	1	chr10	-	16473923	16495597	16478432,16480378,16482143,16484590,16487661,16487999,16488270,16488614,16492120,	16480248,16482046,16484392,16487571,16487805,16488146,16488456,16491914,16495029,
ENSDARG00000112540	1	chr5	+	4575800	4579408	4575956,4576363,	4576262,4577983,
ENSDARG00000101200	1	chr12	-	43669294	43685802	43670252,43670413,43676343,43680338,43680704,43680929,43684431,43685163,	43670331,43676196,43680243,43680426,43680796,43684408,43685041,43685749,
ENSDARG00000115557	0	chr21	+	37442458	37445458	37443236,37443878,	37443757,37443966,
ENSDARG00000020488	1	chr12	+	20412293	20482061	20412970,20441687,20454347,20454522,20455258,20459797,20460035,20461389,20461598,20466408,20468201,20468368,20468531,20471287,20471460,20471704,20474941,20476299,20478831,	20441648,20454243,20454446,20455147,20459721,20459918,20461321,20461517,20466281,20468090,20468287,20468451,20471174,20471369,20471548,20474678,20476172,20478295,20481946,
ENSDARG00000099624	1	chr5	+	23024033	23028214	23024184,23024848,23026303,23026463,23026673,23026807,23027374,	23024751,23026157,23026395,23026566,23026764,23027302,23027453,
ENSDARG00000052604	1	chr23	+	2136344	2161478	2136567,2144210,2151118,2155141,2158108,2159117,2160324,2161063,	2144120,2151068,2154968,2158019,2158999,2160210,2160882,2161172,
ENSDARG00000100465	1	chr12	+	43585527	43601943	43586586,43593585,	43593400,43597302,
ENSDARG00000013822	0	chr12	+	48319221	48327599	48319256,48320554,48322089,	48320401,48322015,48327304,
ENSDARG00000110950	0	chr7	-	74006756	74057288	74010351,74015151,74035768,	74015006,74035622,74056481,
ENSDARG00000101585	1	chr3	+	49397115	49421274	49397698,49398493,49398647,49406328,49412016,49412358,49415237,49415366,49415512,49415689,	49398442,49398603,49406225,49411901,49412253,49415165,49415323,49415455,49415601,49417873,
ENSDARG00000116976	1	chr8	-	53544094	53548145	53544253,53544776,53545221,	53544534,53544893,53547801,
ENSDARG00000074560	1	chr25	-	20385583	20523927	20390248,20393588,20482545,	20393548,20482337,20523643,
ENSDARG00000112125	0	chr2	+	40181633	40184687	40182128,40182395,40183871,	40182278,40183794,40184052,
ENSDARG00000057844	1	chr1	-	57497959	57501299	57498736,57499086,57499402,57501025,57501174,	57498832,57499163,57500678,57501106,57501275,
ENSDARG00000071152	1	chr3	+	3610140	3634849	3610307,3610557,3616593,3617684,3622330,3624169,3626068,3626245,3628295,3630596,3630784,3631474,	3610467,3616482,3617556,3622264,3624080,3626015,3626183,3628162,3630504,3630734,3631330,3634216,
ENSDARG00000013694	1	chr11	-	18270313	18283886	18270429,18271440,18271965,18272274,18277397,18277635,18277867,	18271291,18271888,18272162,18277276,18277540,18277819,18282760,
ENSDARG00000101082	0	chr13	-	43223491	43238578	43223757,43223978,43225261,43226483,43227940,43229985,43232071,43232322,43233264,43234180,43234393,43237012,43237307,43238277,	43223898,43225072,43226310,43227807,43229815,43231917,43232151,43233191,43234111,43234332,43236933,43237094,43238235,43238466,
ENSDARG00000104401	1	chr2	-	4044636	4070850	4046536,4047452,4048278,4050069,4051815,4052183,4052914,4054036,4056222,4058261,4060765,4062930,4063187,4065338,4065522,4066750,4069020,	4047366,4048205,4049943,4051664,4052028,4052802,4053974,4056090,4058109,4060592,4062847,4063037,4065229,4065430,4066576,4068895,4070719,
ENSDARG00000112386	1	chr4	-	39244401	39265279	39244787,39249472,	39247625,39264975,
ENSDARG00000059305	0	chr9	+	917060	923251	917136,	920035,
ENSDARG00000059279	1	chr24	-	8721676	8731039	8723079,8723802,8725173,8725865,8727283,8728616,	8723661,8725055,8725637,8727232,8728197,8730900,
ENSDARG00000077244	1	chr8	-	34749288	34762163	34749531,34749768,34751893,34753055,34753429,34753709,34754574,34755037,34757043,34758963,34759567,34759960,34760911,34761417,	34749602,34751675,34752645,34753354,34753525,34754493,34754879,34756441,34757623,34759446,34759696,34760813,34761275,34761535,
ENSDARG00000098273	1	chr24	+	41989108	41994676	41989511,41991136,	41990301,41993971,
ENSDARG00000115613	0	chr4	-	4376498	4387012	4376907,4377318,4384632,4385154,4385780,	4377226,4384564,4385035,4385738,4386964,
ENSDARG00000102684	1	chr13	-	2254238	2283176	2255440,2257755,2262206,2263412,2267572,2270051,2271332,2273862,2276728,2276873,2282505,	2257613,2262034,2263297,2267489,2269933,2271188,2273788,2276665,2276817,2282416,2283085,
ENSDARG00000102734	1	chr24	-	40876247	40901410	40877003,40881085,40881251,40881797,40882330,40882840,40883143,40883965,40884553,40885844,40888984,40891441,40891694,40892815,	40881012,40881155,40881690,40882233,40882738,40883069,40883741,40884452,40885756,40888855,40891359,40891619,40892675,40901347,
ENSDARG00000105286	1	chr5	+	72194444	72207275	72194712,72196250,72196668,72197009,72198541,72198703,72198873,72199098,72199818,72200072,72200702,72202012,72202516,72202979,72203330,72203605,72204180,72204376,72204704,	72196124,72196598,72196821,72198492,72198662,72198778,72198977,72199757,72199941,72200492,72201881,72202295,72202906,72203127,72203460,72204067,72204266,72204610,72205436,
ENSDARG00000024759	1	chr2	+	21485492	21504467	21485707,21487311,	21486229,21501649,
ENSDARG00000052304	1	chr6	+	22337081	22351939	22337218,22339058,22344058,22344486,22346480,22347089,22347307,22347530,22348318,22348503,22349552,22349722,	22338918,22343972,22344357,22346282,22347010,22347192,22347387,22348158,22348418,22349464,22349647,22351627,
ENSDARG00000053485	1	chr17	-	45071531	45104750	45073681,45076185,45082477,45085221,45089351,45093165,45093580,45096937,45099167,45100737,45103901,	45076087,45082298,45085040,45089162,45093044,45093278,45096859,45099006,45100663,45103860,45104456,
ENSDARG00000067981	1	chr5	+	35955209	35970951	35955667,35960664,35960800,35964969,35965140,35965320,	35960547,35960759,35964825,35965051,35965228,35967187,
ENSDARG00000116438	1	chr24	+	31655939	31674870	31656314,31660903,	31660781,31672861,
ENSDARG00000116058	1	chr23	-	900955	912817	903901,906356,910437,910757,	906226,910317,910602,912556,
ENSDARG00000103099	1	chr1	-	59015237	59021796	59015346,59015663,59015863,59016814,59017074,59019185,59019725,59020095,	59015531,59015733,59016661,59016966,59018713,59019536,59019940,59021664,
ENSDARG00000060641	1	chr20	+	8028613	8067973	8028899,8040782,8050597,8053360,8055277,8055746,8060526,8061706,	8040641,8050504,8053216,8055190,8055522,8060025,8061580,8066005,
ENSDARG00000111935	1	chr3	-	49010987	49015203	49012151,	49014631,
ENSDARG00000116806	1	chr3	+	59851537	59862797	59852625,59856702,	59856552,59858780,
ENSDARG00000035697	1	chr8	+	622640	632241	622788,625723,625865,630427,	625678,625814,629943,631718,
ENSDARG00000100708	1	chr12	-	41631521	41662327	41633969,41636825,41639691,41641191,41641332,41641503,41643249,41643445,41645097,41645289,41647395,41649254,41650108,41650603,41653232,41653771,41656643,	41636619,41639614,41641123,41641267,41641444,41643151,41643347,41645035,41645206,41647267,41649138,41650037,41650568,41653101,41653625,41656524,41661241,
ENSDARG00000077207	1	chr12	+	47698356	47734957	47698834,47724683,47727467,47732323,	47724279,47726937,47732054,47734310,
ENSDARG00000099022	1	chr20	-	54201459	54208344	54201643,54203034,54205721,	54202979,54205577,54208260,
ENSDARG00000078653	0	chr2	-	52810862	52841762	52811179,52813525,52814169,52815351,52817635,52822976,52826984,52827500,52837392,	52813405,52814048,52815241,52817504,52822815,52826635,52827066,52837058,52841536,
ENSDARG00000098401	0	chr10	+	7671260	7672949	7671536,	7672809,
ENSDARG00000113065	1	chr22	+	7655271	7662596	7655537,	7661283,
ENSDARG00000099965	0	chr16	+	21738194	21745336	21738245,21738681,21739251,21741877,	21738629,21738902,21741799,21745210,
ENSDARG00000074554	1	chr23	+	36730713	36750301	36730863,36738788,36743901,36744135,36746826,	36738621,36743821,36743995,36746716,36749131,
ENSDARG00000104559	1	chr13	+	46718518	46796020	46718977,46749557,46751853,46757384,46766743,46769380,46771463,46771619,46772517,46774749,46778055,46781590,46785891,46786423,46788907,46790255,46792184,46792871,46793226,46793435,46793914,46795563,46795706,	46749360,46751774,46757343,46766653,46769343,46771300,46771568,46772409,46774679,46777975,46781467,46785758,46786286,46788754,46790149,46792098,46792806,46793064,46793330,46793747,46795448,46795644,46795868,
ENSDARG00000036629	1	chr21	+	33454147	33458430	33454165,33455409,33458064,33458253,	33455259,33457903,33458177,33458333,
ENSDARG00000041294	1	chr3	+	62161249	62169060	62161323,62162624,62163138,62163691,62164479,62165572,62166095,	62162544,62163066,62163508,62164292,62165465,62165978,62166904,
ENSDARG00000073985	1	chr3	-	10407458	10425313	10407535,10407702,10411074,10412107,10421145,	10407635,10410903,10412028,10421028,10424670,
ENSDARG00000115610	1	chr2	-	53582357	53592532	53587203,53587538,53590267,	53587427,53590150,53592450,
ENSDARG00000093788	1	chr22	+	6757741	6759019	6758206,	6758300,
ENSDARG00000051956	1	chr5	-	69426654	69437422	69429856,69431328,69431491,	69431223,69431438,69437158,
ENSDARG00000101627	0	chr24	-	42081728	42090635	42081836,42082043,42083522,42083970,42087817,42089951,	42081965,42083446,42083708,42087721,42089824,42090504,
ENSDARG00000101933	1	chr18	+	660578	717350	660990,669758,699548,701749,707444,708047,714647,715148,715744,716594,	669676,699500,701621,707365,707904,714494,715011,715682,716514,717142,
ENSDARG00000103390	1	chr6	-	53503273	53885514	53503698,53512555,53523344,53530197,53537938,53546743,53549271,53580509,53583180,53611520,53627490,53690616,53790790,	53512506,53523266,53530087,53537777,53546644,53549221,53580452,53583049,53611382,53627446,53690557,53790674,53885377,
ENSDARG00000089908	1	chr4	+	26036682	26051118	26036863,26039994,26041938,26042603,26044039,26046891,26047908,26048076,	26039589,26041787,26042411,26043804,26046749,26047783,26047998,26048506,
ENSDARG00000020850	1	chr19	+	43119014	43122329	43119074,43119854,43120349,43120732,43120970,43121530,43121842,	43119698,43120170,43120436,43120820,43121274,43121608,43121923,
ENSDARG00000100136	1	chr8	+	53388005	53401791	53388194,53388506,53389688,53391351,53391807,53392057,53393930,53396867,53397687,	53388466,53389561,53391285,53391669,53391974,53393523,53396814,53397505,53398000,
ENSDARG00000113552	1	chr8	-	19642199	19649617	19642828,	19649355,
ENSDARG00000037560	1	chr7	+	25825667	25854387	25825820,25830886,25833601,25837632,25840425,25840811,25841098,25841700,25843787,25845978,25846622,25848106,25849172,25852714,	25830813,25833529,25837538,25840315,25840710,25841015,25841551,25843602,25845793,25846419,25848014,25849059,25852538,25854055,
ENSDARG00000094717	1	chr8	+	34567717	34574181	34568048,34568338,34568517,34568745,34569124,34569427,	34568242,34568442,34568657,34568985,34569220,34574121,
ENSDARG00000042845	1	chr5	+	72087619	72093253	72087670,72092063,72092580,	72091939,72092379,72092936,
ENSDARG00000099999	1	chr22	-	20312180	20342260	20316022,20319040,20319356,20320564,20322565,20322787,20324641,20326286,20326603,20326807,20327157,20327386,20327751,20330923,20331144,20331291,20331483,20331628,20337123,20338307,	20318888,20319118,20320514,20322415,20322676,20324438,20326210,20326525,20326749,20327061,20327250,20327652,20330874,20331012,20331251,20331411,20331567,20337051,20338211,20341668,
ENSDARG00000026892	0	chr13	-	50235706	50247689	50236494,50236658,50238387,50240184,50243397,50244565,50244877,	50236577,50238271,50240094,50243277,50244524,50244651,50247501,
ENSDARG00000116500	1	chr8	+	34922981	34924782	34923340,34923630,34923809,34924044,34924423,	34923534,34923734,34923956,34924284,34924519,
ENSDARG00000089368	0	chr14	+	1170968	1178359	1170992,1171343,	1171066,1177522,
ENSDARG00000089861	1	chr4	-	26021749	26035770	26022728,26026317,26026502,26027093,26029619,26032826,	26026112,26026394,26026898,26028351,26032565,26035738,
ENSDARG00000108475	0	chr24	-	26302781	26304386	26303386,26303736,26304190,	26303713,26304124,26304324,
ENSDARG00000063242	1	chr20	-	3954579	3997531	3955107,3956461,3956636,3958207,3961133,3964014,3968234,3971294,3974337,3975658,3976004,3976276,3980380,3981706,3984635,3985290,3987412,3987526,3987582,3989871,3991435,3991593,3994415,	3956382,3956558,3958128,3960998,3963905,3968150,3971211,3974245,3975526,3975874,3976120,3980206,3981565,3984553,3985180,3987296,3987491,3987529,3989806,3991365,3991518,3994321,3997331,
ENSDARG00000017006	1	chr7	-	64978738	65093209	64978921,64980953,64982498,64984878,64988211,64991602,64993018,64996690,64997529,65008452,65010847,65011114,65011524,65016792,65019750,65024106,65026866,65035511,65039527,65050344,65054391,65056069,	64980785,64982375,64984796,64988033,64991484,64992873,64996569,64997401,65008368,65010760,65010962,65011393,65016699,65019600,65023872,65026651,65035197,65039340,65049672,65054282,65055998,65092883,
ENSDARG00000100591	1	chr7	-	58823406	58826164	58825405,	58825852,
ENSDARG00000019484	1	chr18	+	5813996	5830414	5814149,5818056,5822330,5822536,5823848,5825036,5826516,	5817980,5822037,5822412,5823752,5824955,5826386,5829888,
ENSDARG00000040803	1	chr25	+	33256012	33266553	33256563,33257515,33258844,33259779,33262279,	33257449,33258654,33259473,33262114,33265745,
ENSDARG00000068064	1	chr13	-	50345345	50366950	50349638,50353256,50353648,50354085,50356793,50359797,50362083,50364784,	50352531,50353462,50354006,50356646,50359645,50361845,50364668,50366555,
ENSDARG00000115416	1	chr4	-	66839620	66843599	66840233,66840522,66840793,66841022,66841200,66841644,66841922,66842149,66842431,	66840314,66840620,66840874,66841108,66841278,66841751,66842016,66842252,66842556,
